fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Jaqueline Amorim,Montserrat Conejo Ruiz,0,0,141 of 208,20 of 57,86 of 136,6 of 36,76 of 120,2 of 29,9 of 14,2 of 4,1 of 2,2 of 3,6 of 15,5 of 31,0 of 0,0 of 1,80 of 121,1 of 4,1 of 3,1 of 1,4,0,2,0,8:05,3:39,W,KO/TKO,3,3:41,Chris Tognoni,http://ufcstats.com/fight-details/ca2aa660bea0cb60
Da'Mon Blackshear,Jose Johnson,0,0,30 of 46,16 of 21,18 of 30,8 of 12,7 of 16,4 of 7,2 of 5,2 of 3,9 of 9,2 of 2,5 of 13,7 of 9,6 of 8,0 of 2,7 of 9,1 of 1,2 of 4,0 of 0,1,0,0,0,2:57,0:00,W,Submission,1,3:47,Mark Smith,http://ufcstats.com/fight-details/91a5480f48bfaa71
Juliana Miller,Luana Santos,0,0,25 of 77,64 of 106,24 of 75,63 of 105,15 of 61,44 of 82,9 of 13,16 of 20,0 of 1,3 of 3,18 of 64,53 of 88,6 of 11,10 of 17,0 of 0,0 of 0,0 of 2,0 of 0,0,0,0,0,0:29,0:26,L,KO/TKO,1,3:41,Jason Herzog,http://ufcstats.com/fight-details/e3573545220ca4ea
Cory Sandhagen,Rob Font,0,0,132 of 211,25 of 69,34 of 84,9 of 49,30 of 79,5 of 43,2 of 3,2 of 3,2 of 2,2 of 3,10 of 47,8 of 44,0 of 1,0 of 3,24 of 36,1 of 2,7 of 7,1 of 2,1,0,0,0,19:38,1:08,W,Decision - Unanimous,5,5:00,Jason Herzog,http://ufcstats.com/fight-details/554163b1c8c05522
Jessica Andrade,Tatiana Suarez,0,0,13 of 31,25 of 51,11 of 29,23 of 49,2 of 14,3 of 20,5 of 8,17 of 26,4 of 7,3 of 3,8 of 23,13 of 36,3 of 6,10 of 13,0 of 0,0 of 0,0 of 0,3 of 3,0,1,0,0,0:17,2:22,L,Submission,2,1:31,Kevin MacDonald,http://ufcstats.com/fight-details/ec2358459ffbe7de
Dustin Jacoby,Kennedy Nzechukwu,1,0,10 of 33,4 of 18,10 of 33,4 of 18,5 of 28,3 of 14,0 of 0,0 of 3,5 of 5,1 of 1,10 of 26,4 of 18,0 of 0,0 of 0,0 of 7,0 of 0,0 of 0,0 of 0,0,0,0,0,0:04,0:00,W,KO/TKO,1,1:22,Gary Copeland,http://ufcstats.com/fight-details/2c54be25b09fce50
Diego Lopes,Gavin Tucker,0,0,0 of 4,0 of 6,0 of 4,0 of 6,0 of 3,0 of 6,0 of 0,0 of 0,0 of 1,0 of 0,0 of 4,0 of 6,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,3,0,0,0,0:00,0:39,W,Submission,1,1:38,Jimmy Neely,http://ufcstats.com/fight-details/79bfba62da6242a6
Tanner Boser,Aleksa Camur,0,0,145 of 253,105 of 175,120 of 215,68 of 136,78 of 163,34 of 97,24 of 32,25 of 28,18 of 20,9 of 11,87 of 174,46 of 108,33 of 41,22 of 28,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,5:27,1:01,W,Decision - Unanimous,3,5:00,Justin Brown,http://ufcstats.com/fight-details/2c0496a5f39ab8a4
Ignacio Bahamondes,Ludovit Klein,0,0,62 of 166,94 of 151,43 of 139,56 of 108,29 of 114,36 of 82,9 of 16,11 of 16,5 of 9,9 of 10,41 of 133,43 of 88,2 of 6,1 of 1,0 of 0,12 of 19,0 of 1,3 of 5,0,0,0,0,0:07,6:05,L,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/531ce3d8011fa1f6
Kyler Phillips,Raoni Barcelos,1,0,80 of 196,52 of 124,72 of 187,46 of 116,40 of 146,20 of 87,18 of 26,15 of 17,14 of 15,11 of 12,62 of 174,39 of 105,6 of 8,7 of 10,4 of 5,0 of 1,1 of 4,3 of 11,0,0,0,0,0:47,1:42,W,Decision - Unanimous,3,5:00,Kevin MacDonald,http://ufcstats.com/fight-details/e5cb9dfc1189d77d
Jeremiah Wells,Carlston Harris,0,0,41 of 78,19 of 36,18 of 48,5 of 19,16 of 46,1 of 14,2 of 2,3 of 4,0 of 0,1 of 1,5 of 25,5 of 19,2 of 3,0 of 0,11 of 20,0 of 0,3 of 5,0 of 1,2,1,0,0,9:26,0:13,L,Submission,3,1:50,Jason Herzog,http://ufcstats.com/fight-details/bda7992779a005fa
Billy Quarantillo,Damon Jackson,0,0,169 of 270,75 of 184,100 of 188,67 of 173,45 of 124,45 of 139,49 of 57,19 of 31,6 of 7,3 of 3,58 of 140,53 of 148,42 of 48,10 of 15,0 of 0,4 of 10,0 of 0,3 of 13,1,0,0,0,1:51,6:10,W,Decision - Unanimous,3,5:00,Kevin MacDonald,http://ufcstats.com/fight-details/1b0d5e65fdfc62cf
Cody Durden,Jake Hadley,0,0,63 of 122,45 of 106,38 of 85,26 of 83,23 of 66,12 of 61,9 of 11,10 of 16,6 of 8,4 of 6,30 of 67,23 of 76,1 of 1,3 of 7,7 of 17,0 of 0,4 of 6,0 of 3,1,3,0,1,7:25,2:04,W,Decision - Unanimous,3,5:00,Jimmy Neely,http://ufcstats.com/fight-details/38901948cff43ff9
Sean Woodson,Dennis Buzukja,0,0,163 of 229,46 of 121,71 of 126,42 of 116,36 of 77,24 of 85,18 of 32,11 of 17,17 of 17,7 of 14,61 of 113,32 of 96,8 of 11,5 of 8,2 of 2,5 of 12,4 of 5,0 of 1,0,0,0,1,5:52,2:30,W,Decision - Unanimous,3,5:00,Justin Brown,http://ufcstats.com/fight-details/436a1ce6b0c6b4bb
Ode Osbourne,Assu Almabayev,0,0,8 of 22,52 of 78,4 of 18,26 of 40,4 of 16,17 of 31,0 of 2,5 of 5,0 of 0,4 of 4,3 of 17,9 of 14,0 of 0,0 of 0,1 of 1,17 of 26,0 of 0,2 of 5,0,2,0,0,0:21,5:24,L,Submission,2,3:11,Gary Copeland,http://ufcstats.com/fight-details/6b5c225814a924ed
Dustin Poirier,Justin Gaethje,0,1,27 of 52,41 of 66,27 of 52,41 of 66,21 of 46,23 of 48,4 of 4,7 of 7,2 of 2,11 of 11,25 of 49,38 of 63,2 of 3,2 of 2,0 of 0,1 of 1,0 of 0,0 of 0,0,0,0,0,0:00,0:00,L,KO/TKO,2,1:00,Herb Dean,http://ufcstats.com/fight-details/c27e33ee8ef53866
Jan Blachowicz,Alex Pereira,0,0,82 of 117,112 of 138,52 of 81,70 of 92,41 of 66,26 of 46,4 of 8,23 of 24,7 of 7,21 of 22,41 of 67,62 of 83,3 of 5,7 of 8,8 of 9,1 of 1,3 of 8,0 of 0,2,1,0,0,7:32,0:06,L,Decision - Split,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/800a35b3a7e52308
Derrick Lewis,Marcos Rogerio de Lima,1,0,20 of 36,2 of 2,17 of 33,1 of 1,16 of 32,1 of 1,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,16 of 32,1 of 1,0 of 0,0 of 0,0,0,0,0,0:29,0:00,W,KO/TKO,1,0:33,Dan Miragliotta,http://ufcstats.com/fight-details/eff6ec2b2f1fb27b
Tony Ferguson,Bobby Green,0,0,62 of 138,145 of 227,54 of 123,137 of 217,38 of 98,95 of 166,11 of 18,24 of 31,5 of 7,18 of 20,50 of 118,115 of 183,2 of 2,1 of 1,2 of 3,21 of 33,0 of 3,0 of 0,0,1,0,0,0:13,3:25,L,Submission,3,4:54,Dan Miragliotta,http://ufcstats.com/fight-details/f1eca70738ca073e
Michael Chiesa,Kevin Holland,0,0,6 of 13,12 of 19,4 of 11,9 of 16,4 of 11,7 of 14,0 of 0,2 of 2,0 of 0,0 of 0,3 of 7,4 of 9,1 of 4,4 of 5,0 of 0,1 of 2,0 of 5,0 of 0,0,1,0,0,0:15,0:40,L,Submission,1,2:39,Marc Goddard,http://ufcstats.com/fight-details/cbf1e76186a0c8b3
Gabriel Bonfim,Trevin Giles,0,0,3 of 11,1 of 5,3 of 11,1 of 5,2 of 10,1 of 5,1 of 1,0 of 0,0 of 0,0 of 0,3 of 11,1 of 5,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,1,0,0,0,0:26,0:14,W,Submission,1,1:13,Herb Dean,http://ufcstats.com/fight-details/4327fe98e1b6f222
CJ Vergara,Vinicius Salvador,0,0,109 of 181,89 of 196,109 of 181,88 of 195,43 of 102,54 of 154,45 of 57,19 of 25,21 of 22,15 of 16,104 of 176,87 of 194,5 of 5,1 of 1,0 of 0,0 of 0,0 of 0,0 of 2,0,0,0,0,0:00,0:01,W,Decision - Unanimous,3,5:00,Dave Seljestad,http://ufcstats.com/fight-details/e5ac7343b6d45188
Roman Kopylov,Claudio Ribeiro,1,0,32 of 42,33 of 60,32 of 42,32 of 59,20 of 29,18 of 45,9 of 10,7 of 7,3 of 3,7 of 7,29 of 38,29 of 56,2 of 3,3 of 3,1 of 1,0 of 0,0 of 0,0 of 1,0,0,0,0,0:03,0:16,W,KO/TKO,2,0:33,Marc Goddard,http://ufcstats.com/fight-details/5116f9398bfca446
Jake Matthews,Darrius Flowers,0,0,71 of 113,41 of 69,60 of 101,36 of 64,40 of 78,21 of 48,14 of 17,6 of 6,6 of 6,9 of 10,47 of 84,31 of 57,2 of 5,5 of 7,11 of 12,0 of 0,0 of 1,1 of 3,1,0,0,0,1:15,1:03,W,Submission,2,2:37,Tyler Tomlinson,http://ufcstats.com/fight-details/7a8f218c07347c88
Matthew Semelsberger,Uros Medic,1,1,53 of 121,76 of 135,52 of 120,69 of 128,31 of 91,49 of 98,8 of 14,17 of 27,13 of 15,3 of 3,42 of 106,50 of 104,3 of 5,13 of 18,7 of 9,6 of 6,0 of 2,1 of 1,0,0,0,0,1:13,0:22,L,KO/TKO,3,2:36,Tyler Tomlinson,http://ufcstats.com/fight-details/3de326b65aa6245d
Miranda Maverick,Priscila Cachoeira,0,0,105 of 132,13 of 26,36 of 51,11 of 23,23 of 37,7 of 18,8 of 8,2 of 3,5 of 6,2 of 2,16 of 29,10 of 22,2 of 2,0 of 0,18 of 20,1 of 1,3 of 9,0 of 0,1,0,0,0,8:54,0:00,W,Submission,3,2:11,Dave Seljestad,http://ufcstats.com/fight-details/74fef059e229d217
Tom Aspinall,Marcin Tybura,1,0,13 of 18,4 of 15,13 of 18,4 of 15,12 of 17,2 of 13,1 of 1,2 of 2,0 of 0,0 of 0,7 of 10,4 of 15,0 of 0,0 of 0,6 of 8,0 of 0,0 of 0,0 of 0,0,0,0,0,0:05,0:00,W,KO/TKO,1,1:13,Marc Goddard,http://ufcstats.com/fight-details/90e46589a18064bc
Molly McCann,Julija Stoliarenko,0,0,6 of 16,9 of 29,6 of 16,9 of 29,1 of 11,4 of 20,4 of 4,2 of 3,1 of 1,3 of 6,6 of 16,9 of 29,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0,1,0,0,0:07,0:19,L,Submission,1,1:55,Jason Herzog,http://ufcstats.com/fight-details/743a04674ab72ee0
Nathaniel Wood,Andre Fili,1,1,108 of 174,76 of 179,84 of 148,58 of 151,38 of 90,45 of 134,10 of 18,7 of 10,36 of 40,6 of 7,71 of 123,53 of 144,0 of 0,3 of 5,13 of 25,2 of 2,1 of 2,0 of 2,0,0,0,1,1:47,2:55,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/9541cf21e031354c
Paul Craig,Andre Muniz,0,0,54 of 101,31 of 47,40 of 82,24 of 40,31 of 66,15 of 30,8 of 15,2 of 3,1 of 1,7 of 7,10 of 32,15 of 27,0 of 0,1 of 1,30 of 50,8 of 12,2 of 2,2 of 2,1,0,0,0,2:56,1:47,W,KO/TKO,2,4:40,Daniel Movahedi,http://ufcstats.com/fight-details/8104fe27bdc46914
Jai Herbert,Fares Ziam,0,0,58 of 150,96 of 153,49 of 134,61 of 113,7 of 79,29 of 74,23 of 31,19 of 23,19 of 24,13 of 16,38 of 119,45 of 93,11 of 15,16 of 20,0 of 0,0 of 0,0 of 6,1 of 5,0,0,0,0,4:12,1:30,L,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/c4caa8a4f32a0eed
Lerone Murphy,Josh Culibao,1,0,87 of 144,40 of 77,59 of 109,23 of 59,37 of 81,16 of 48,15 of 18,5 of 6,7 of 10,2 of 5,24 of 61,19 of 53,12 of 14,4 of 6,23 of 34,0 of 0,3 of 5,0 of 2,2,0,0,0,7:38,1:30,W,Decision - Unanimous,3,5:00,Loic Pora,http://ufcstats.com/fight-details/3c4305abc2e302d0
Davey Grant,Daniel Marcos,0,0,70 of 215,49 of 141,70 of 215,48 of 140,17 of 127,21 of 90,27 of 55,6 of 24,26 of 33,21 of 26,70 of 213,47 of 139,0 of 2,1 of 1,0 of 0,0 of 0,0 of 1,1 of 1,0,0,0,0,0:06,0:13,L,Decision - Split,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/b4e2037f180c1e0e
Danny Roberts,Jonny Parsons,0,2,44 of 134,69 of 133,44 of 133,63 of 124,27 of 111,42 of 95,14 of 19,12 of 19,3 of 3,9 of 10,44 of 132,51 of 101,0 of 1,7 of 15,0 of 0,5 of 8,0 of 2,0 of 0,0,0,0,0,0:05,1:26,L,KO/TKO,2,4:57,Jason Herzog,http://ufcstats.com/fight-details/d54ebd2a3435a357
Marc Diakiese,Joel Alvarez,0,0,29 of 60,64 of 98,20 of 46,42 of 75,8 of 25,20 of 49,6 of 11,12 of 16,6 of 10,10 of 10,20 of 46,37 of 70,0 of 0,2 of 2,0 of 0,3 of 3,2 of 3,0 of 1,0,1,0,0,3:09,1:26,L,Submission,2,4:26,Daniel Movahedi,http://ufcstats.com/fight-details/319b96f615a0a154
Mick Parkin,Jamal Pogues,0,0,98 of 159,37 of 136,95 of 156,36 of 135,37 of 94,22 of 119,16 of 20,4 of 6,42 of 42,10 of 10,92 of 151,34 of 132,3 of 5,2 of 3,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,0:00,1:17,W,Decision - Unanimous,3,5:00,Loic Pora,http://ufcstats.com/fight-details/89b96bc5f3e824c5
Makhmud Muradov,Bryan Barberena,2,0,68 of 114,81 of 138,54 of 97,28 of 81,39 of 77,13 of 56,15 of 20,2 of 4,0 of 0,13 of 21,46 of 79,27 of 79,5 of 11,1 of 2,3 of 7,0 of 0,13 of 16,0 of 1,0,0,0,0,5:10,0:02,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/8b341eb556c97c23
Ketlen Vieira,Pannie Kianzad,0,0,65 of 103,92 of 144,15 of 33,22 of 51,13 of 31,17 of 45,1 of 1,3 of 4,1 of 1,2 of 2,8 of 25,10 of 30,1 of 2,0 of 0,6 of 6,12 of 21,3 of 3,0 of 0,3,0,0,1,10:49,2:11,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/a0bc695b35f155f1
Chris Duncan,Yanal Ashmouz,0,0,87 of 209,36 of 100,85 of 206,35 of 98,54 of 161,15 of 68,23 of 30,8 of 14,8 of 15,12 of 16,82 of 200,34 of 96,3 of 6,1 of 2,0 of 0,0 of 0,2 of 4,0 of 1,0,0,0,0,0:48,0:00,W,Decision - Unanimous,3,5:00,Loic Pora,http://ufcstats.com/fight-details/a8a4c9f98ff73839
Shauna Bannon,Bruna Brasil,0,0,124 of 223,73 of 111,54 of 144,56 of 90,22 of 84,30 of 58,19 of 38,14 of 19,13 of 22,12 of 13,51 of 139,39 of 72,3 of 5,12 of 13,0 of 0,5 of 5,0 of 2,2 of 3,0,0,0,0,1:05,3:21,L,Decision - Unanimous,3,5:00,Daniel Movahedi,http://ufcstats.com/fight-details/c81d1facf185467d
Jafel Filho,Daniel Barez,0,1,23 of 62,18 of 30,21 of 54,18 of 30,11 of 40,8 of 17,8 of 9,7 of 9,2 of 5,3 of 4,21 of 54,18 of 27,0 of 0,0 of 1,0 of 0,0 of 2,1 of 4,0 of 0,1,0,0,0,0:55,0:12,W,Submission,1,3:26,Marc Goddard,http://ufcstats.com/fight-details/d918da575ee1bc35
Holly Holm,Mayra Bueno Silva,0,0,50 of 70,31 of 50,27 of 39,20 of 37,15 of 24,9 of 21,10 of 12,7 of 10,2 of 3,4 of 6,21 of 31,13 of 28,6 of 8,7 of 9,0 of 0,0 of 0,0 of 1,0 of 0,0,1,0,0,3:05,0:00,L,Submission,2,0:38,Keith Peterson,http://ufcstats.com/fight-details/73370221b3fa3676
Jack Della Maddalena,Bassil Hafez,0,0,149 of 212,48 of 141,83 of 137,32 of 124,55 of 104,29 of 117,27 of 32,2 of 6,1 of 1,1 of 1,68 of 119,28 of 118,14 of 17,4 of 6,1 of 1,0 of 0,1 of 2,3 of 20,0,0,0,1,1:19,6:48,W,Decision - Split,3,5:00,Mark Smith,http://ufcstats.com/fight-details/3352c65f3f6d9b2a
Ottman Azaitar,Francisco Prado,0,1,16 of 36,42 of 61,14 of 33,38 of 57,6 of 20,31 of 46,7 of 11,2 of 6,1 of 2,5 of 5,12 of 28,17 of 30,2 of 5,1 of 1,0 of 0,20 of 26,0 of 0,0 of 3,0,0,0,0,0:00,0:49,L,KO/TKO,1,4:05,Chris Tognoni,http://ufcstats.com/fight-details/b52dccbe69864d2a
Albert Duraev,JunYong Park,0,1,35 of 83,77 of 138,31 of 77,50 of 96,18 of 57,41 of 85,7 of 8,4 of 5,6 of 12,5 of 6,31 of 76,47 of 93,0 of 1,2 of 2,0 of 0,1 of 1,1 of 2,0 of 1,0,3,0,0,1:14,1:59,L,Submission,2,4:45,Mark Smith,http://ufcstats.com/fight-details/6adfe44b110c1510
Norma Dumont,Chelsea Chandler,0,0,98 of 141,72 of 124,47 of 76,22 of 61,30 of 59,14 of 51,12 of 12,6 of 7,5 of 5,2 of 3,28 of 49,13 of 44,10 of 12,9 of 17,9 of 15,0 of 0,3 of 3,1 of 3,0,0,0,0,8:58,2:30,W,Decision - Unanimous,3,5:00,Jacob Montalvo,http://ufcstats.com/fight-details/81b7a6aa147bd912
Nazim Sadykhov,Terrance McKinney,0,0,20 of 27,21 of 34,8 of 15,6 of 14,6 of 11,3 of 10,0 of 1,3 of 3,2 of 3,0 of 1,6 of 13,4 of 12,0 of 0,2 of 2,2 of 2,0 of 0,0 of 0,2 of 5,1,0,1,0,0:55,4:16,W,Submission,2,1:07,Keith Peterson,http://ufcstats.com/fight-details/e4620f3fa451a3a4
Tucker Lutz,Melsik Baghdasaryan,0,0,41 of 115,74 of 122,36 of 109,64 of 108,14 of 71,32 of 66,16 of 28,30 of 40,6 of 10,2 of 2,34 of 105,50 of 88,2 of 4,11 of 16,0 of 0,3 of 4,3 of 9,0 of 0,0,0,0,0,6:19,0:42,L,Decision - Unanimous,3,5:00,Jacob Montalvo,http://ufcstats.com/fight-details/8362b372adb2f302
Viktoriia Dudakova,Istela Nunes,0,0,3 of 11,2 of 6,3 of 11,2 of 6,1 of 7,1 of 4,2 of 4,1 of 2,0 of 0,0 of 0,2 of 10,2 of 6,0 of 0,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0,0,0,0,0:06,0:00,W,KO/TKO,1,0:34,Chris Tognoni,http://ufcstats.com/fight-details/eb30c9c975e15436
Austin Lingo,Melquizael Costa,0,0,39 of 140,108 of 236,39 of 139,100 of 220,24 of 114,39 of 133,11 of 17,48 of 73,4 of 8,13 of 14,39 of 139,93 of 209,0 of 0,6 of 9,0 of 0,1 of 2,0 of 0,3 of 8,0,1,0,0,0:00,2:44,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/b4cc389bb4af3707
Evan Elder,Genaro Valdez,1,1,96 of 195,65 of 237,96 of 195,64 of 236,61 of 155,51 of 210,15 of 19,4 of 6,20 of 21,9 of 20,96 of 193,62 of 231,0 of 1,2 of 5,0 of 1,0 of 0,1 of 1,0 of 0,1,0,0,0,0:06,0:00,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/3624f4ae9c1d703e
Tyson Nam,Azat Maksum,0,0,98 of 242,46 of 190,81 of 213,46 of 189,27 of 149,33 of 167,19 of 28,12 of 21,35 of 36,1 of 1,79 of 209,46 of 183,2 of 4,0 of 6,0 of 0,0 of 0,0 of 0,2 of 11,0,0,0,0,0:30,0:22,L,Decision - Split,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/dae80502466c8726
Alexander Munoz,Carl Deaton,1,0,53 of 120,39 of 112,44 of 111,37 of 108,37 of 99,29 of 97,6 of 11,8 of 11,1 of 1,0 of 0,27 of 87,36 of 106,2 of 3,1 of 2,15 of 21,0 of 0,3 of 7,0 of 2,0,0,0,0,3:54,0:00,W,Decision - Unanimous,3,5:00,Jacob Montalvo,http://ufcstats.com/fight-details/57785c9be5b4526d
Ashlee Evans-Smith,Ailin Perez,0,0,13 of 49,127 of 190,12 of 47,60 of 104,6 of 40,50 of 87,2 of 3,7 of 11,4 of 4,3 of 6,7 of 40,12 of 32,5 of 7,14 of 23,0 of 0,34 of 49,0 of 1,10 of 15,0,0,0,0,0:08,11:36,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/cae7de0873e03947
Alexander Volkanovski,Yair Rodriguez,0,0,149 of 198,57 of 103,66 of 97,40 of 80,48 of 69,13 of 49,4 of 5,11 of 14,14 of 23,16 of 17,25 of 45,38 of 77,4 of 6,0 of 0,37 of 46,2 of 3,7 of 12,0 of 0,0,0,0,0,7:13,0:00,W,KO/TKO,3,4:19,Herb Dean,http://ufcstats.com/fight-details/4b12a4b48755cd6b
Brandon Moreno,Alexandre Pantoja,0,1,167 of 265,161 of 323,147 of 245,129 of 274,133 of 231,106 of 247,13 of 13,20 of 22,1 of 1,3 of 5,128 of 220,104 of 239,12 of 14,13 of 21,7 of 11,12 of 14,2 of 4,6 of 11,0,0,3,0,4:01,8:26,L,Decision - Split,5,5:00,Jason Herzog,http://ufcstats.com/fight-details/0f24f3bc1b39ea45
Robert Whittaker,Dricus Du Plessis,0,1,32 of 71,74 of 118,31 of 70,62 of 104,23 of 59,38 of 77,2 of 4,11 of 13,6 of 7,13 of 14,29 of 68,41 of 77,2 of 2,8 of 10,0 of 0,13 of 17,1 of 1,1 of 1,0,0,0,0,0:23,0:57,L,KO/TKO,2,2:23,Marc Goddard,http://ufcstats.com/fight-details/4ec5d9bd1442e6c1
Jalin Turner,Dan Hooker,0,1,113 of 191,172 of 247,100 of 177,125 of 197,63 of 128,77 of 139,30 of 37,25 of 32,7 of 12,23 of 26,78 of 152,100 of 157,18 of 21,19 of 31,4 of 4,6 of 9,1 of 3,0 of 2,0,1,0,0,0:18,3:09,L,Decision - Split,3,5:00,Mark Smith,http://ufcstats.com/fight-details/b6ea8880cc7af439
Bo Nickal,Val Woodburn,1,0,7 of 10,2 of 9,7 of 10,2 of 9,7 of 10,2 of 9,0 of 0,0 of 0,0 of 0,0 of 0,6 of 9,2 of 9,0 of 0,0 of 0,1 of 1,0 of 0,0 of 1,0 of 0,0,0,0,0,0:02,0:00,W,KO/TKO,1,0:38,Chris Tognoni,http://ufcstats.com/fight-details/1ffe6e8df6dbefd2
Robbie Lawler,Niko Price,1,0,8 of 10,2 of 7,8 of 10,2 of 7,8 of 10,0 of 3,0 of 0,1 of 2,0 of 0,1 of 2,4 of 6,1 of 6,4 of 4,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,KO/TKO,1,0:38,Marc Goddard,http://ufcstats.com/fight-details/20d8f6b4b7c8bae7
Tatsuro Taira,Edgar Chairez,0,1,121 of 148,26 of 39,61 of 78,25 of 38,40 of 54,15 of 23,2 of 4,5 of 6,19 of 20,5 of 9,26 of 36,25 of 38,0 of 0,0 of 0,35 of 42,0 of 0,2 of 3,0 of 0,1,2,1,1,9:53,0:25,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/d3a9aceeb7e23580
Yazmin Jauregui,Denise Gomes,0,1,0 of 1,21 of 24,0 of 1,17 of 20,0 of 1,17 of 20,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,4 of 6,0 of 0,0 of 0,0 of 0,13 of 14,0 of 0,0 of 0,0,0,0,0,0:00,0:10,L,KO/TKO,1,0:20,Jason Herzog,http://ufcstats.com/fight-details/ef270d8cf29d071b
Jimmy Crute,Alonzo Menifield,0,0,32 of 59,25 of 40,26 of 53,21 of 36,5 of 30,18 of 33,19 of 20,2 of 2,2 of 3,1 of 1,6 of 31,17 of 32,20 of 22,4 of 4,0 of 0,0 of 0,1 of 5,0 of 0,0,1,0,0,1:12,1:45,L,Submission,2,1:55,Mark Smith,http://ufcstats.com/fight-details/6ef12db5b099ec81
Vitor Petrino,Marcin Prachnio,0,0,72 of 111,147 of 185,44 of 81,55 of 88,32 of 68,25 of 54,9 of 10,21 of 25,3 of 3,9 of 9,24 of 58,41 of 73,1 of 1,14 of 15,19 of 22,0 of 0,4 of 6,0 of 1,2,0,0,0,8:39,0:18,W,Submission,3,3:42,Marc Goddard,http://ufcstats.com/fight-details/69f67a4a690eb15d
Cameron Saaiman,Terrence Mitchell,0,0,23 of 38,6 of 11,18 of 32,3 of 7,15 of 29,3 of 7,3 of 3,0 of 0,0 of 0,0 of 0,0 of 2,0 of 3,4 of 6,2 of 3,14 of 24,1 of 1,2 of 2,1 of 2,1,0,1,0,1:37,1:06,W,KO/TKO,1,3:10,Mark Smith,http://ufcstats.com/fight-details/dbf8a4b0870a47d1
Shannon Ross,Jesus Aguilar,0,1,2 of 3,2 of 3,2 of 3,2 of 3,1 of 2,1 of 1,1 of 1,0 of 0,0 of 0,1 of 2,2 of 3,2 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,L,KO/TKO,1,0:17,Jason Herzog,http://ufcstats.com/fight-details/420f7e6530dbc727
Kamuela Kirk,Esteban Ribovics,0,0,86 of 147,135 of 224,56 of 107,115 of 202,36 of 84,94 of 177,12 of 15,17 of 20,8 of 8,4 of 5,51 of 101,92 of 172,5 of 6,10 of 13,0 of 0,13 of 17,3 of 14,2 of 2,1,0,0,0,6:20,1:15,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/5b71958ee063a6e8
Sean Strickland,Abus Magomedov,1,0,81 of 188,47 of 101,81 of 188,47 of 101,80 of 186,21 of 68,1 of 2,16 of 23,0 of 0,10 of 10,67 of 168,47 of 101,0 of 0,0 of 0,14 of 20,0 of 0,0 of 0,1 of 2,0,0,0,0,0:10,0:23,W,KO/TKO,2,4:20,Mark Smith,http://ufcstats.com/fight-details/f557405652165aa3
Damir Ismagulov,Grant Dawson,0,0,35 of 54,84 of 128,13 of 28,30 of 57,6 of 19,28 of 48,6 of 8,1 of 8,1 of 1,1 of 1,13 of 28,9 of 35,0 of 0,1 of 1,0 of 0,20 of 21,0 of 0,3 of 5,0,1,1,0,0:08,12:24,L,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/4dc5a41f357a7d85
